title,employer,location,rating,easy_apply,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating,company_size,company_type,company_sector,company_founded,company_industry,company_revenue,age,district,python_keyword,ai_keyword,java_keyword,javascript_keyword,c++_keyword,react_keyword,sql_keyword,aws_keyword,git_keyword
Other,Boston Consulting Group,Tel Aviv,4,0,4,4,4,4,3.1,10000+ Employees,Company - Private,Management & Consulting,1963,Business Consulting,$5 to $10 billion (USD),60,Tel Aviv,0,0,0,0,0,0,0,0,1
Software Engineer,Nym Health,Tel Aviv,-1,1,4,4,3,2,4.4,1 to 50 Employees,Company - Private,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,0,0,0,0,0,0,0,0,0
Student/Intern,Hewlett Packard Enterprise,Herzliya,4,0,3,3,4,3,4.2,10000+ Employees,Company - Public,Information Technology,2015,Information Technology Support Services,Unknown / Non-Applicable,8,Tel Aviv,0,0,0,0,0,0,0,0,0
Student/Intern,INTEL,Petah Tikva,4,0,4,4,4,3,4.1,Unknown,Company - Public,Information Technology,-1,Computer Hardware Development,$10+ billion (USD),-1,Central,0,0,0,0,0,0,0,0,0
Student/Intern,Hewlett Packard Enterprise,Herzliya,4,0,3,3,4,3,4.2,10000+ Employees,Company - Public,Information Technology,2015,Information Technology Support Services,Unknown / Non-Applicable,8,Tel Aviv,0,0,0,0,0,0,0,0,0
Student/Intern,INTEL,Petah Tikva,4,0,4,4,4,3,4.1,10000+ Employees,Company - Public,Information Technology,1968,Computer Hardware Development,$10+ billion (USD),55,Central,0,1,0,0,0,0,0,0,0
Software Engineer,Oski Technology,Tel Aviv,4,0,4,4,4,4,4.1,10000+ Employees,Company - Public,Information Technology,1993,Computer Hardware Development,$5 to $10 billion (USD),30,Tel Aviv,1,0,0,0,1,0,0,0,0
Software Engineer,Innovid,Tel Aviv,4,0,3,3,4,4,4.5,201 to 500 Employees,Company - Public,Information Technology,2007,Internet & Web Services,$25 to $100 million (USD),16,Tel Aviv,0,1,0,0,0,0,0,0,1
Software Engineer,Appdome,Tel Aviv,3,0,3,3,3,3,3.5,51 to 200 Employees,Company - Private,Information Technology,2012,Software Development,Unknown / Non-Applicable,11,Tel Aviv,1,0,1,0,1,0,0,0,0
Engineer,lusha,Tel Aviv,3,0,3,3,3,3,3.8,201 to 500 Employees,Company - Private,Information Technology,2016,Software Development,Unknown / Non-Applicable,7,Tel Aviv,0,0,0,0,0,0,0,0,0
