,title,employer,location,rating,description,salary_estimate,easy_apply,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating,company_size,company_type,company_sector,company_founded,company_industry,company_revenue
0,Associate/Consultant - Cybersecurity,Boston Consulting Group,Tel Aviv-Yafo,4.4 ,"Who We Are  Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total transformation-inspiring complex change, enabling organizations to grow, building competitive advantage, and driving bottom-line impact.  To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.   BCG''s Tech and Digital Advantage (TDA) practice focuses on helping clients deliver competitive advantage and business superior performance through the use of data, technology and digital. TDA is the fastest growing practice at BCG and at the heart of the strategic impact we have with our clients. Our consultants and experts globally work across all industries and provide deep experience and expertise across a number of topics including: * Digital Transformation * Data & Digital Platforms * Software & Agile * Digitizing the Tech Function",-1,0,4.4,4.5,4.3,4.1,3.1,10000+ Employees,Company - Private,Management & Consulting,1963,Business Consulting,$5 to $10 billion (USD)
1,Junior Software Engineer,Nym Health,Tel Aviv-Yafo,-1,"At Nym, we’re passionate about simplifying healthcare by automating the accurate interpretation of clinical language. Our interdisciplinary team has developed an innovative technology that can understand clinical language and provides an entirely new way of analyzing and decoding medical records into clear, concise, and actionable information. This ultimately ensures clinical and administrative teams can spend more time focused on patient care. At Nym, the future is bright. Our engine currently processes over five million charts annually in more than 150 emergency department and urgent care settings across the US. We are backed by top-tier VCs and growing rapidly, with offices in NYC and Tel Aviv.   Requirements:",-1,1,4.1,4.7,3.0,2.7,4.4,1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
2,Zerto - Backend Engineering Intern,Hewlett Packard Enterprise,Herzliya,4.2 ,"Zerto - Backend Engineering Intern  This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office. Who We Are: Hewlett Packard Enterprise is the global edge-to-cloud company advancing the way people live and work. We help companies connect, protect, analyze, and act on their data and applications wherever they live, from edge to cloud, so they can turn insights into outcomes at the speed required to thrive in today’s complex world. Our culture thrives on finding new and better ways to accelerate what’s next. We know diverse backgrounds are valued and succeed here. We have the flexibility to manage our work and personal needs. We make bold moves, together, and are a force for good. If you are looking to stretch and grow your career our culture will embrace you. Open up opportunities with HPE.        Accountability, Accountability, Action Planning, Active Learning, Active Listening, Bias, Business, Calendar Management, Coaching, Computer Literacy, Creativity, Critical Thinking, Dealing with Ambiguity, Design Thinking, Empathy, Follow-Through, Growth Mindset, Intellectual Curiosity, Office Administration, Policy and procedures, Problem Solving, Project Management, Recordkeeping, Risk Assessment, Software Development {+ 5 more} Administration N/A",-1,0,3.8,3.7,4.3,3.8,4.2,10000+ Employees,Company - Public,Information Technology,2015,Information Technology Support Services,Unknown / Non-Applicable
3,Israel InfoSec DevSecOps student,INTEL,Petah Tikva,4.2 ,"Job Description  About the Group The Intel Information Security team provides the critical capabilities that protect our people, apps, content and devices while simultaneously allowing the business to run faster than it does today. We focus on corporate security and identity infrastructure. Enabling secure Intel business solutions by providing core identity and authentication services. What will you do? As an Israel DevSecOps student, you will work with security and identity tools. Including planning, configuring, optimizing, and managing ongoing operations for our global team.     Intel's Information Technology Group (IT) designs, deploys and supports the information technology architecture and hardware/software applications for Intel. This includes the LAN, WAN, telephony, data centers, client PCs, backup and restore, and enterprise applications. IT is also responsible for e-Commerce development, data hosting and delivery of Web content and services.  All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.  We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here: https://www.intel.com/content/www/us/en/jobs/benefits.html  This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.",-1,0,4.0,4.0,4.2,3.7,4.1,-1,Company - Public,Information Technology,-1,Computer Hardware Development,$10+ billion (USD)
4,Front End Engineering Intern,Hewlett Packard Enterprise,Herzliya,4.2 ,"Front End Engineering Intern  This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office. Who We Are: Hewlett Packard Enterprise is the global edge-to-cloud company advancing the way people live and work. We help companies connect, protect, analyze, and act on their data and applications wherever they live, from edge to cloud, so they can turn insights into outcomes at the speed required to thrive in today’s complex world. Our culture thrives on finding new and better ways to accelerate what’s next. We know diverse backgrounds are valued and succeed here. We have the flexibility to manage our work and personal needs. We make bold moves, together, and are a force for good. If you are looking to stretch and grow your career our culture will embrace you. Open up opportunities with HPE.    Accountability, Accountability, Action Planning, Active Learning, Active Listening, Bias, Business, Calendar Management, Coaching, Computer Literacy, Creativity, Critical Thinking, Dealing with Ambiguity, Design Thinking, Empathy, Follow-Through, Growth Mindset, Intellectual Curiosity, Office Administration, Policy and procedures, Problem Solving, Project Management, Recordkeeping, Risk Assessment, Software Development {+ 5 more} Administration N/A",-1,0,3.8,3.7,4.3,3.8,4.2,10000+ Employees,Company - Public,Information Technology,2015,Information Technology Support Services,Unknown / Non-Applicable
5,"AI Product Analyst student for Artificial Intelligence Group, Intel",INTEL,Petah Tikva,4.2 ,"Job Description  The AI Solutions Group is Intel's internal AI group. It is a global team of over 200 experts that uses AI to upgrade and transform Intel's critical operations. The group develops and deploys AI solutions across the company, from processor architecture and design, through manufacturing to sales. This yields both more then 1B of annual value for Intel and better products for its customers. Our AI Product Analysts Intel's AI product experts are essentially rock stars-they combine deep AI knowledge with product management best practices to create innovative and high value AI based products at scale. Our AI product experts engage with our customers to identify high business value problems that can be solved using AI, defining creative and high-end solutions that our data scientists and machine learning engineers can create. They also conduct deep data analysis using state-of-the-art technologies, collaborating with our data scientists to identify, create and evaluate the best algorithms to solve problems. Working diligently with our customers, our product analysts help implement and drive the highest business value possible from our solutions.               Intel's Information Technology Group (IT) designs, deploys and supports the information technology architecture and hardware/software applications for Intel. This includes the LAN, WAN, telephony, data centers, client PCs, backup and restore, and enterprise applications. IT is also responsible for e-Commerce development, data hosting and delivery of Web content and services.  All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.  We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here: https://www.intel.com/content/www/us/en/jobs/benefits.html  This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.",-1,0,4.0,4.0,4.2,3.7,4.1,10000+ Employees,Company - Public,Information Technology,1968,Computer Hardware Development,$10+ billion (USD)
6,Python and C++ Software Engineer,Oski Technology,Tel Aviv-Yafo,4.6 ,"NVIDIA networking is a leading supplier of end-to-end Ethernet and InfiniBand intelligent interconnect solutions and services for servers, storage, and hyper-converged infrastructure. The NVIDIA Developer Tools group is looking for an extraordinary senior Python and C++ engineer to participate in the development of the next generation of developer tools for our networking solutions. The successful candidate will show strong background in Python programming, ability to work independently and quickly learn new technology, good communication and motivated to solve sophisticated problems. What you’ll be doing: Design and implement new features Develop state-of-the-art network tools for debugging and boosting performance of ground-breaking networking solutions",-1,0,4.4,4.5,4.5,4.3,4.1,10000+ Employees,Company - Public,Information Technology,1993,Computer Hardware Development,$5 to $10 billion (USD)
7,Software Engineer,Innovid,Tel Aviv-Yafo,4.4 ,"Innovid (NYSE:CTV) powers advertising delivery, personalization, measurement and outcomes across linear, CTV and digital for the world's largest brands. Through a global infrastructure that enables cross-platform ad serving, data-driven creative, and currency-grade measurement, Innovid offers its clients always-on intelligence to optimize advertising investment across channels, platforms, screens, and devices. Innovid is an independent platform that leads the market in converged TV innovation, through proprietary technology and exclusive partnerships designed to reimagine TV advertising. Headquartered in New York City, Innovid serves a global client base through offices across the Americas, Europe, and Asia Pacific. To learn more, visit innovid.com or follow us on LinkedIn or Twitter. We have a developer-centric culture, practice continuous deployment and no code ownership, and deal daily with the most advanced technologies and methodologies in software development, high scalability, and fully automated and tested pipelines. We're looking for top-notch, passionate developers to be part of our world-class R&D team. If you think you can handle a wide range of technologies, pushing code to production several times a day, working on a different part of our product code with every new task you getת and using the best practices in the industry? please contact us!",-1,0,3.9,3.9,4.5,4.2,4.5,201 to 500 Employees,Company - Public,Information Technology,2007,Internet & Web Services,$25 to $100 million (USD)
8,Software Engineer,Appdome,Tel Aviv-Yafo,3.7 ,"Tel- Aviv · Full-time · Intermediate About The Position We are looking for a talented Software Engineer at Appdome. You will take part in developing data-based security intelligence products and features. The challenge is to design and create complex solutions for Android & iOS 3rd party applications. The code is developed with C/C++, Python, Java, and Objective C. Responsibilities",-1,0,3.8,3.7,3.9,3.8,3.5,51 to 200 Employees,Company - Private,Information Technology,2012,Software Development,Unknown / Non-Applicable
9,Backend Data Engineer,lusha,Tel Aviv-Yafo,3.7 ,"Description Lusha is growing and we are searching for an experienced Backend-Data Engineer to join us! If you are a highly skilled software engineer experienced in solving complex algorithmic and engineering (preferability data) challenges, a strong knowledge of a wide range of technologies and solutions as a Backend developer, and someone who thrives in a cross-functional, fast-paced environment - continue reading :) You will: Design and implement high scale and data intensive services",-1,0,3.5,3.8,3.6,3.2,3.8,201 to 500 Employees,Company - Private,Information Technology,2016,Software Development,Unknown / Non-Applicable
