,title,employer,location,rating,description,salary_estimate,easy_apply,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating,company_size,company_type,company_sector,company_founded,company_industry,company_revenue
0,Data Analyst,Peroptyx,Israel,2.3 ,"For thousands of years, maps have provided humans with the knowledge they need to make decisions. As a Maps Evaluator, you will have the opportunity to provide ground truth for your town, city or country. At Peroptyx, we are looking for Data Analysts who will review mapping data for digital mapping applications. Your research capabilities will validate and ensure that the navigation of certain routes are accurate and safe. As part of this role you will verify that business names and opening hours are correct. You will check that the distance from a starting point to an end destination is listed accurately resulting in better user experiences. With this job you can plan your days around this highly flexible working schedule, work weekends or late evenings, all from the comfort of your own office. The flexibility of our roles minimizes the impact on your daily routine.",-1,0,2.5,1.7,2.3,4.0,4.3,1 to 50 Employees,Company - Private,-1,2018,Internet & Web Services,-1
1,"AI Product Analyst student for Artificial Intelligence Group, Intel",INTEL,Petah Tikva,4.2 ,"Job Description  The AI Solutions Group is Intel's internal AI group. It is a global team of over 200 experts that uses AI to upgrade and transform Intel's critical operations. The group develops and deploys AI solutions across the company, from processor architecture and design, through manufacturing to sales. This yields both more then 1B of annual value for Intel and better products for its customers. Our AI Product Analysts Intel's AI product experts are essentially rock stars-they combine deep AI knowledge with product management best practices to create innovative and high value AI based products at scale. Our AI product experts engage with our customers to identify high business value problems that can be solved using AI, defining creative and high-end solutions that our data scientists and machine learning engineers can create. They also conduct deep data analysis using state-of-the-art technologies, collaborating with our data scientists to identify, create and evaluate the best algorithms to solve problems. Working diligently with our customers, our product analysts help implement and drive the highest business value possible from our solutions.               Intel's Information Technology Group (IT) designs, deploys and supports the information technology architecture and hardware/software applications for Intel. This includes the LAN, WAN, telephony, data centers, client PCs, backup and restore, and enterprise applications. IT is also responsible for e-Commerce development, data hosting and delivery of Web content and services.  All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.  We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here: https://www.intel.com/content/www/us/en/jobs/benefits.html  This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.",-1,0,4.0,4.0,4.2,3.7,4.1,10000+ Employees,Company - Public,Information Technology,1968,Computer Hardware Development,$10+ billion (USD)
2,Data and Insights Analyst,OGC Global,Tel Aviv-Yafo,5.0 ,"OGC is a boutique research and consulting agency specializing in data-driven strategy, quantitative analytics, and Customer Experience (CX) program design and optimization. We work with some of the world’s largest organizations across a variety of industries, including Financial Services, Specialty Retail, Telecommunications, Hospitality and Software, helping them to gain a deep understanding of their customers, develop actionable insights, and improve business processes.  We are seeking a full-time Data and Insights Analyst to join our team and support the development and execution of both our CX and Market research practices. This role provides a great opportunity for a curious, self-starter to become part of a high-performing team, and implement a hands-on approach to data exploration, manipulation, and database extraction automation. This will help our clients with mapping and documenting various data structures and platforms, eventually creating a curated, more approachable pattern of data retrieval. This is a full time position based in our Tel Aviv office with a hybrid work model.",-1,1,5.0,4.5,5.0,5.0,5.0,1 to 50 Employees,Company - Public,-1,-1,-1,Unknown / Non-Applicable
3,Data Analyst- Part time,Anchor Fintech,Tel Aviv-Yafo,-1,"Product Tel Aviv Intermediate Part-time  DESCRIPTION We are currently seeking a highly-skilled, experienced, and resourceful part-time Data Analyst to join our team. This opportunity is ideal for a student who has significant prior experience in the field and is passionate about using data to drive decision-making and business performance.",-1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
4,Associate/Consultant - Cybersecurity,Boston Consulting Group,Tel Aviv-Yafo,4.4 ,"Who We Are  Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total transformation-inspiring complex change, enabling organizations to grow, building competitive advantage, and driving bottom-line impact.  To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.   BCG''s Tech and Digital Advantage (TDA) practice focuses on helping clients deliver competitive advantage and business superior performance through the use of data, technology and digital. TDA is the fastest growing practice at BCG and at the heart of the strategic impact we have with our clients. Our consultants and experts globally work across all industries and provide deep experience and expertise across a number of topics including: * Digital Transformation * Data & Digital Platforms * Software & Agile * Digitizing the Tech Function",-1,0,4.4,4.5,4.3,4.1,3.1,10000+ Employees,Company - Private,Management & Consulting,1963,Business Consulting,$5 to $10 billion (USD)
5,Data Analyst,RIPESEED,Raanana,-1,"Octopol is a pioneer company that integrates statistics modules and algorithms with a passion for sports, mainly soccer. We are looking for a data analyst to join our research department. The data analyst function will support several stakeholders in Octopol. - Working with the research team and being the one to look at and understand the bigger picture. - Learning the data gathering mechanism. - Face and solve business problems by analyzing data and providing insights to the business covering a range of topics. - Develop complex logic flows to identify predefined events and generate desired insights. - Support the researchers on their projects. - Responsible for conducting both recurring and ad hoc analyses for business stakeholders. - Research and integrate new tools and methods to enrich datasets.",₪18K (Employer est.),1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
6,Data Analyst - Student Position,Outbrain,Netanya,4.0 ,"We are Outbrain.  We're one of the world's largest content recommendation platforms, delighting audiences with engaging, personalized content recommendations while serving as the primary engagement partner and platform for the world's top digital media companies. Outbrain is looking for a doer, dedicated, organized, self-learner Data analyst student to join our supply data team. As with any Outbrain employee, we're looking for someone who is resourceful, bright, proactive, works well independently and as part of a team, and who will be passionate about what she or he does. For this position, we are looking for a highly motivated student, eager to learn with excellent analytical and problem-solving skills. If you want to be part of a dynamic, professional team with high standards and great atmosphere – Your place is with us!",-1,1,3.8,3.2,4.1,3.6,4.2,501 to 1000 Employees,Company - Public,Information Technology,2006,Internet & Web Services,Unknown / Non-Applicable
7,Data Analyst - Student,Apiiro,Tel Aviv-Yafo,4.7 ,"What We're About We're an experienced and diverse team focused on solving one of the biggest challenges Chief Information officers and Chief Information Security Officers have - allowing development teams to move fast without compromising on security controls and risk management. we're looking for strong and fun people to join us and take a significant part in shaping our technology, product, and culture.  What You're About You are a second year computer science/electrical engineering student who is available for 60% part time work. You have strong communication skills, both Hebrew and English. You are passionate about technology and love working in a team. Being a part of an innovative and growing startup company is exactly what you're looking for! Prior experience is great but not required.",-1,1,4.2,4.4,4.5,4.6,4.4,51 to 200 Employees,Company - Private,Information Technology,2019,Software Development,Unknown / Non-Applicable
8,Junior Monetization Analyst,Investing,Tel Aviv-Yafo,3.6 ,"Investing.com, the leading global financial news & data platform, is on the lookout for a Junior Monetization Analyst to join our team and create, analyze, and optimize large-scale campaigns. Please note this is a part-time student position (60% - 3 days a week - on-site). What you’ll be doing: Conduct research and analysis of monetization data Analyze and recommend new ways to optimize and maximize profitability and ROI Build and maintain strategic relationships with key partners Collaborate with different team members within the department to deliver and execute successful marketing campaigns    Employment Type: Employee",-1,1,3.0,3.4,3.1,3.1,3.6,201 to 500 Employees,Company - Private,Media & Communication,2007,Publishing,Unknown / Non-Applicable
9,DATA ANALYST,Horizon Technologies,Ramat Gan,3.5 ,"DATA ANALYST?? אנחנו מחפשים אותך!!!  כאנאליסט תעזור ותתמוך בבניה וניהול מוצרי הליבה הדיגיטליים, תוך תמיכה בהמשכיות עסקית ,צמיחת החברה וסיפוק מענה לצרכי הלקוחות.  תחומי אחריות:  ניתוח אנליטי שוטף של שכבות מידע (פאנלים) אנליטיות ומכלול מקורות המידע עבודה מול מערכות מידע בהגדרת הדרישות של שכבות מידע חדשות, אפיון וביצוע בדיקות לווידוא שלמות ואיכות נתונים שימוש בכלים טכנולוגיים שונים לחקר נתונים ויצירת תובנות אנליטיות, דוחות ודשבורדים עבודה מול אגפים עסקיים – ליווי, הכוונה ושיתוף בתוצרים ובתובנות",-1,0,3.3,3.3,3.0,3.1,2.9,201 to 500 Employees,Company - Private,Management & Consulting,-1,Business Consulting,$25 to $100 million (USD)
10,Python student,BrandShield,Herzliya,2.6 ,"About The Position BrandShield is looking for Python student to our great R&D team: In your role you will have the opportunity to work on different projects and gain broad exposure to the security and brand protection industry. From day one, you'll be involved in high-profile projects. You will use your technical skills to support colleagues in automating workflows, extract data from different sources and maintain code. Requirements Strong proficiency in Python",-1,0,2.3,2.0,3.0,2.0,2.3,1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
11,Data Scientist,Ping Identity,Petah Tikva,4.2 ,"At Ping Identity, we believe in making digital experiences both secure and seamless for all users, without compromise. We call this digital freedom. And it's not just something we provide our customers. It's something that inspires our company. People don't come here to join a culture that's built on digital freedom. They come to cultivate it. Our intelligent, cloud identity platform lets people shop, work, bank, and interact wherever and however they want. Without friction. Without fear. While protecting digital identities is at the core of our technology, protecting individual identities is at the core of our culture. We champion every identity. One of our core values, Respect Diversity, reminds us to celebrate differences so you are empowered to bring your authentic self to work. You Will: You Have: Our Benefits:",-1,0,4.2,4.1,4.4,4.1,4.3,1001 to 5000 Employees,Company - Public,Information Technology,2002,Enterprise Software & Network Solutions,$100 to $500 million (USD)
12,Data Analyst לחטיבת האסטרטגיה,מגדל חברה לביטוח,Petah Tikva,3.5 ,"תחום:  טכנולוגיה, פיתוח עסקי, דאטה ודיגיטל  היקף משרה:  מלאה  מיקום המשרה:  פתח-תקווה  תיאור משרה: אנחנו מגייסים Data Analyst לחטיבת האסטרטגיה איך יראה היום שלך:",-1,0,3.2,2.9,3.3,2.8,4.2,1001 to 5000 Employees,Company - Public,Insurance,-1,Insurance Carriers,Unknown / Non-Applicable
13,Data Analyst,Ibex Medical Analytics,Tel Aviv-Yafo,5.0 ,"About Ibex:  IBEX develops state-of-the-art artificial intelligence SaaS solutions for cancer diagnostics. Our cutting-edge technology is transforming the diagnosis of cancer, leading to rapid and accurate decision making and providing new diagnostic insight to enable precision medicine. IBEX is a well-funded start-up with global presence and headquarters in the USA and Israel. Our world class team of researchers, engineers and medical experts is growing. If you are an outstanding professional, passionate about your work, a team player and want to make a difference in the lives of millions of people",-1,1,5.0,4.7,5.0,5.0,5.0,1 to 50 Employees,Company - Public,Healthcare,2016,Health Care Services & Hospitals,Unknown / Non-Applicable
14,Data Analyst,Discount Bank,Rishon LeẔiyyon,4.0 ,"Discount Bank is looking for an Data Analyst to join our team. The Campaign Analyst is a vital member of the Data team responsible for managing campaigns, facilitating dialogue with end customers, and driving positive impacts on customer satisfaction and the bank's profitability. This role requires a strategic and analytical mindset, along with excellent communication skills to engage with customers and stakeholders effectively. Responsibilities: E2E responsibility for deploying campaigns and customer journeys in different channels. Analyze data to build campaign segmentation. Analyze campaigns effectiveness and generate actionable insights and recommendations for improvement.  Requirements:",-1,1,3.7,3.5,3.9,3.6,4.0,5001 to 10000 Employees,Company - Public,Financial Services,1935,Banking & Lending,$1 to $5 billion (USD)
15,Data scientist,Paretix,Tel Aviv-Yafo,-1,"PLEASE SEND YOUR CV TO JOBS@PARETIX.COM ONLY RELEVANT INQUIRIES WILL BE ANSWERED.  We are recruiting a Data Scientist ,to work in the biggest Bank in Israel. the job includes: Machine Lerning Models Developing Analysis data Investigate business and operational data",-1,0,4.0,3.0,3.0,-1.0,-1.0,1 to 50 Employees,Company - Public,-1,-1,-1,Unknown / Non-Applicable
16,Data Analyst,SchoolStatus,Tel Aviv,-1,"As the Data Analyst you will conduct in-depth data analysis, and help develop solutions that turn numbers into knowledge. You'll work alongside various teams and utilize insights to understand and expand how people interact with our product. Your job is cross-functional; Collaborate with Marketing, Product, and Sales to tackle various business problems, spot trends and come up with data-driven solutions. In our work together, we aim to be honest, committed, and, above all, collaborative.  That impact you'll have:   Conduct end-to-end research on different parts of our funnel and users behaviour for optimisation.",-1,1,3.5,4.2,3.8,3.8,4.7,201 to 500 Employees,Company - Private,Information Technology,2012,Internet & Web Services,$25 to $100 million (USD)
17,ML Data Analyst,Planck,Tel Aviv-Yafo,-1,"Who are we? Planck is pioneering the commercial insurance data industry, providing an Artificial Intelligence (AI) data platform. Leveraging deep industry expertise and breakthrough data science, Planck streamlines the commercial underwriting process by aggregating small and medium businesses’ digital footprint to help insurers acquire a comprehensive understanding of customer risk. We are a group of smart, innovative, self-driven people who love technology and love making an impact on the world. You will work alongside some of the experienced professionals in artificial intelligence and accomplished data leaders.  Requirements:   Benefits:",-1,1,4.8,4.7,4.8,4.4,4.6,51 to 200 Employees,Company - Private,Information Technology,2016,Enterprise Software & Network Solutions,Unknown / Non-Applicable
