,title,employer,location,rating,description,salary_estimate,easy_apply,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating,company_size,company_type,company_sector,company_founded,company_industry,company_revenue
0,Frontend developer,eternitech,Tel Aviv-Yafo,1.0 ,"Position description Eternitech is looking for a junior Front-end developer with as 1 year of experience of Web development technologies. Required skills Deep understanding in Javascript language (ECMAscript 6). Experience in HTML, CSS, supporting browsers and platforms and Responsive programming for tablet and mobile web apps. Experience in one the following languages: PHP, C #, Ruby, Python – Advantage.",-1,0,1.0,1.0,1.0,1.0,1.0,1 to 50 Employees,Company - Private,-1,1993,-1,$5 to $25 million (USD)
1,Software Engineer,Innovid,Tel Aviv-Yafo,4.4 ,"Innovid (NYSE:CTV) powers advertising delivery, personalization, measurement and outcomes across linear, CTV and digital for the world's largest brands. Through a global infrastructure that enables cross-platform ad serving, data-driven creative, and currency-grade measurement, Innovid offers its clients always-on intelligence to optimize advertising investment across channels, platforms, screens, and devices. Innovid is an independent platform that leads the market in converged TV innovation, through proprietary technology and exclusive partnerships designed to reimagine TV advertising. Headquartered in New York City, Innovid serves a global client base through offices across the Americas, Europe, and Asia Pacific. To learn more, visit innovid.com or follow us on LinkedIn or Twitter. We have a developer-centric culture, practice continuous deployment and no code ownership, and deal daily with the most advanced technologies and methodologies in software development, high scalability, and fully automated and tested pipelines. We're looking for top-notch, passionate developers to be part of our world-class R&D team. If you think you can handle a wide range of technologies, pushing code to production several times a day, working on a different part of our product code with every new task you getת and using the best practices in the industry? please contact us!",-1,0,3.9,3.9,4.5,4.2,4.5,201 to 500 Employees,Company - Public,Information Technology,2007,Internet & Web Services,$25 to $100 million (USD)
2,Software Engineer,Wiliot,Israel,4.5 ,"Wiliot was founded by the team that invented one of the technologies at the heart of 5G. Their next vision was to develop an IoT sticker, a computing element that can power itself by harvesting radio frequency energy, bringing connectivity and intelligence to everyday products and packaging, things previously disconnect from the IoT. This revolutionary mixture of cloud and semiconductor technology is being used by some of the world’s largest consumer, retail, food and pharmaceutical companies to change the way we make, distribute, sell, use and recycle products. Our investors include Softbank, Amazon, Alibaba, Verizon, NTT DoCoMo, Qualcomm and PepsiCo. We are looking for a junior software developer with proven hands-on skills to join the team and build high-performing, scalable applications. You will collaborate with great people from multiple disciplines to create innovative digital products and integrate them within the Sensing-as-a-Service cloud platform.  Requirements:   Responsibilities:",-1,1,4.2,4.3,4.3,4.3,4.4,1 to 50 Employees,Company - Private,Information Technology,2017,Computer Hardware Development,Unknown / Non-Applicable
3,Junior Software Developer,Altair,Israel,4.3 ,"Junior Software Developer System Engineering Israel Design the Tomorrow. Every day. We are on a mission of taking the world into a new future, connecting it, and enabling new ways of seeing it. By the power of curiosity and passion, using technology, and in full partnership - we lead change day by day. Our vision is built by individuals, connected to one another. We are in the business of creating our own reality when it’s the daily effort that counts – for an exciting future, one we wish to live in.",-1,0,4.0,4.2,4.2,4.0,4.2,1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
4,Backend Software Developer,Invaya,Herzliya,3.3 ,Job Description: Developing large scale enterprise cloud SaaS solutions Be involved in the full life-cycle of product development from concept to deliverables  Required Skills: Experienced in writing production-grade code Experience with distributed systems and multi-threaded applications Experience in building complex highly scalable systems Programming in a linux environment Experience with micro-services deployment models A solid understanding of databases and large-scale data processing frameworks,-1,0,2.7,3.0,3.3,2.5,2.6,51 to 200 Employees,Company - Private,Transportation & Logistics,2010,Taxi & Car Services,Unknown / Non-Applicable
5,Frontend Developer,BMC Software,Tel Aviv-Yafo,4.1 ,Basic Information Country Israel State NA City Tel Aviv Date Published,-1,0,3.9,4.1,4.1,3.8,4.0,5001 to 10000 Employees,Company - Private,Information Technology,1980,Enterprise Software & Network Solutions,$1 to $5 billion (USD)
6,Backend Software Developer,ART MEDICAL Ltd,Netanya,4.7 ,"Our smART+™ platform is a sensor-based feeding system for intensive care unit (ICU) patients. It aims to prevent life-threatening complications such as ventilator-associated pneumonia, malnutrition, and acute kidney injury. We recently introduced Nutrition Management 2.0™, which is a comprehensive, guideline-driven approach that aims to improve nutrition while reducing feeding complications. Combined with our smART+™ platform, it monitors, analyzes, and prevents malnutrition and gastric aspirations in real time. By improving nutrition and achieving 100% feeding efficiency, the smART+™ platform greatly reduces hospital-acquired complications and speeds up ICU patient recovery. We are looking for a Backend Software Developer to join our interdisciplinary group of software, firmware, and hardware engineers.  Requirements:",-1,1,4.5,4.2,4.6,4.4,4.3,Unknown,Company - Public,-1,-1,-1,Unknown / Non-Applicable
7,Front-End Developer,PRIMIS,Tel Aviv-Yafo,4.2 ,"A Bit About Us We are an ever-evolving company, driven by our passion for video. We’ve grown from a small start-up to a thriving business, and have been a part of the biggest global ad agency for ten years. Our main priority is maintaining our fun and determined environment and keeping our employees engaged in their work. We need people that are as passionate about video and the ad tech industry. If you are ambitious, hardworking, and motivated, we want to get to know you! About the Position",-1,0,4.0,3.9,3.9,3.9,3.2,51 to 200 Employees,Company - Private,Media & Communication,2007,Advertising & Public Relations,Unknown / Non-Applicable
8,C# Software Engineer,Gini Apps,Herzliya,-1,"Gini-Apps is growing and looking for skilled Software Developer to join our esteemed team. As a Software Developer, you will play a pivotal role in designing, crafting, and enhancing the infrastructure of our PC applications, which support a diverse line of Products Responsibilities: Design, develop, and optimize backend applications, cloud-based services, and APIs for our PC applications supporting various products. Write clean, scalable code and conduct thorough testing, including embedded system testing.  Requirements:",-1,1,4.6,3.2,4.6,3.8,4.0,1 to 50 Employees,Company - Public,-1,-1,-1,Unknown / Non-Applicable
9,Frontend Developer & Instructor,abra Web & Mobile,Ramat Gan,4.1 ,"We are seeking a talented and experienced Frontend Developer with a passion for teaching to join our dynamic team. In our division, we specialize in building advanced web and mobile systems for a wide range of clients, including startups, large companies, and government organizations. In this role, you will primarily be responsible for frontend development tasks, while also dedicating approximately 30% of your time to delivering lectures and conducting training sessions in the field of web development. The ideal candidate will have a strong technical background in frontend development and excellent communication skills to effectively impart knowledge to students and junior developers.  Requirements:  Responsibilities:",-1,1,4.3,3.7,4.3,4.4,4.4,501 to 1000 Employees,Company - Public,Information Technology,2020,Information Technology Support Services,Unknown / Non-Applicable
