,title,employer,location,rating,description,salary_estimate,easy_apply,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating,company_size,company_type,company_sector,company_founded,company_industry,company_revenue
0,Front-end Developer,uPress,Holon,-1,"למה כדאי לך להצטרף לצוות שלנו? כבר שנים ארוכות שאנחנו מובילים בתחום אחסון אתרי הוורדפרס, וזו יכולה להיות הזדמנות נהדרת עבורך להצטרף לצוות המנצח שלנו, אם אתה עדיין לא מכיר אותנו, אז הגיע הזמן. אנחנו צוות של אנשי אבטחה, מנהלי רשתות, מפתחים, מעצבים, אנליסטים, מאפייני UX/UI, אנשי שירות ומכירות. שעושים את ה-כ-ל בשביל לספק ללקוחתינו את הטכנולוגיה המתקדמת ביותר ופורצת הדרך שלנו, עטופה היטב בשירות ברמה הגבוהה ביותר כאשר המטרה שעומדת כל הזמן לנגד עינינו היא להמשיך להוביל ולפתח את עולמות האחסון בוורדפרס.. ביופרס העובדים מרגישים שהם שייכים לצוות איכותי של אנשים שפועל יחדיו עם המון .תמיכה וחופש ליצירתיות, לביטוי עצמי ולהשפעה עצומה על מגוון רחב של תחומים כחלק מהתפיסה הארגונית שלנו אנחנו שמים את העובד במרכז ומאירים דגש מיוחד על התפתחות אישית, צמיחה מקצועית ורכישת ידע, עיצוב קריירה אישית שמניבה פירות וסביבת עבודה נוחה ומשפחתית שמסייעת לכל עובד.",-1,0,-1.0,-1.0,-1.0,-1.0,-1.0,Unknown,Company - Private,-1,-1,-1,Unknown / Non-Applicable
1,Jr. javascript developer,eternitech,Tel Aviv-Yafo,1.0 ,"Position description Eternitech is looking for a junior javascript developer, to support startups in central Israel. Required skills At least 1 year of experience in node.js backend development At least 2 years in Javascript development Experience in: Angular.js – BIG ADVANTAGE Responsible, autodeduct, independent developer.",-1,0,1.0,1.0,1.0,1.0,1.0,1 to 50 Employees,Company - Private,-1,1993,-1,$5 to $25 million (USD)
2,Front End React Developer,Ideo digital,Tel Aviv-Yafo,3.8 ,"roven work experience as a Front-end developer using React.JS & Redux Hands on experience with markup languages (HTML) Experience with JavaScript, CSS and jQuery Familiarity with browser testing and debugging In-depth understanding of the entire web development process (design, development and deployment) Understanding of layout aesthetics An ability to perform well in a fast-paced environment Excellent analytical and multitasking skills Team player - Strong interpersonal communication skills Experience with working with a TFS environment is an advantage. Experience with Agile (Scrum) is an advantage. Experience with Server side .NET technologies is an advantage (MVC 5/6, MS-SQL, Etc.)",-1,0,2.0,2.0,1.0,1.0,3.0,1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
3,Jr. front-end developer,eternitech,Tel Aviv-Yafo,1.0 ,"Position description Eternitech is looking for Junior front-end developer, with at least 6 month of experience with Web development technologies Required skills Programmer from birth Deep understanding in client side languages and frameworks as Html, css, bootstrap, javasctipt, angular.js etc. Experience in one the following languages: PHP, C #, Ruby, Python – Advantage.",-1,0,1.0,1.0,1.0,1.0,1.0,1 to 50 Employees,Company - Private,-1,1993,-1,$5 to $25 million (USD)
4,Front-End Developer,Unleash,Tel Aviv-Yafo,3.7 ,"Unleash is powering the productivity revolution by providing users with a centralized way to search through their cloud based apps and local desktop. A light weight search interface allows users to enter their search query and receive relevant ranked results which are yielded in seconds. As a user centric company, we place a great deal of emphasis on users experience when building our product and have fun doing it!  We are a fresh and energetic startup, post round A in funding ($12M), led by a strong team of second timer founders and top angel investors and VCs from the Sillicon Valley and Tel Aviv. Our expanding team is made up of enthusiastic and dedicated members working together to revolutionize the productivity world. We believe that collaboration across teams - where everyone is accessible, from our newest hires to the founders - combined with a vested interest in our teams well being are the keys to our successful working environment.",-1,1,3.5,3.7,3.7,3.4,3.5,51 to 200 Employees,Company - Private,Media & Communication,2011,Publishing,Unknown / Non-Applicable
5,Junior Developer,Genoox,Tel Aviv-Yafo,5.0 ,"Job ID 1124 Position Location: Tel Aviv, Israel An automation developer at Genoox handles a wide variety of tasks, from devops, to tool building, test automation, support operations and more. You’ll work with developers, support personnel and project managers to promote their goals, while nurturing automation frameworks and tools. You will be responsible for: Maintain, build and operate automation frameworks and internal tools to fulfill company-wide automation needs Working closely with the support, devops and development teams to meet ongoing demands and operations requirements",-1,0,4.1,3.5,5.0,4.0,5.0,1 to 50 Employees,Company - Public,-1,-1,-1,Unknown / Non-Applicable
6,Frontend developer,eternitech,Tel Aviv-Yafo,1.0 ,"Position description Eternitech is looking for a junior Front-end developer with as 1 year of experience of Web development technologies. Required skills Deep understanding in Javascript language (ECMAscript 6). Experience in HTML, CSS, supporting browsers and platforms and Responsive programming for tablet and mobile web apps. Experience in one the following languages: PHP, C #, Ruby, Python – Advantage.",-1,0,1.0,1.0,1.0,1.0,1.0,1 to 50 Employees,Company - Private,-1,1993,-1,$5 to $25 million (USD)
7,Backend Developer / Web Developer,My Mobile,Tel Aviv-Yafo,-1,NA,-1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
8,Front End Developer,Toonimo,Tel Aviv-Yafo,5.0 ,"Requirements: At least 3 years of programming experience Likes to work as part of a team Experience with working in a startup environment Front End Developer experience Creative, motivated and hard worker Full stack developer experienced in all aspects of web High level of auto-deduction & self-management Familiar with the MVC concept",-1,0,5.0,4.3,5.0,5.0,4.3,1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
9,Junior Python Developer Hod HaSharon,AppCard,Hod HaSharon,3.6 ,"Join our team of technical innovators and creative problem solvers.  We are always on the lookout for curious, proactive, enthusiastic people who are passionate about helping businesses understand their customers, and helping customers get the most out of their shopping experience. Headquartered in Downtown NYC, with offices in Ramat Hasharon, Israel and Delray Beach, Florida, AppCard is a startup environment where all ideas and contributions receive attention and recognition. Our philosophy is simple: be the best, work hard and have fun. If you have confidence, ambition and talent, we’d love to meet you. submit your resume to careers@appcard.com.   Junior Python DeveloperHod HaSharon This position is for someone who absolutely loves to code and help us to drive innovation into our Python stack. Responsibilities: Take responsibility and ownership of core services, supporting Millions of complex operations per day Be part of a larger development team working together according to Agile methodology. Requirements: Proven industry experience in Python – 2-3 years of experience Experience working at a tech startup is preferable. Willingness to interact and work with different teams across the company. Independent learner- able to learn new technologies, design practices, and technologies quickly.",-1,0,3.8,3.0,3.5,3.5,3.2,1 to 50 Employees,Company - Public,Information Technology,-1,Computer Hardware Development,$5 to $25 million (USD)
10,Front end Developer,YKM,Tel Aviv-Yafo,2.7 ,"YKM, a leader in the digital industry, is looking for an experienced Front End Developer for a Full time Job. Requirements: At least two years’ experience in developing Client Side applications for WEB Proven experience with HTML5, CSS3, Ajax, jQuery Java Script, Photoshop, Cross Browser Support. Knowledge in CSS / HTML Responsive design with CSS3 media queries – an advantage Experience with libraries such as: AngularJS, Backbone, Modernizer – an advantage",-1,0,3.5,3.1,2.9,3.5,3.4,1 to 50 Employees,Company - Private,Information Technology,-1,Information Technology Support Services,Unknown / Non-Applicable
11,Frontend Developer,90min.com,Tel Aviv-Yafo,3.9 ,Frontend Developer R&D Tel Aviv Intermediate Full-time,-1,0,3.5,3.3,3.8,3.6,4.1,201 to 500 Employees,Company - Private,Media & Communication,2011,Publishing,Unknown / Non-Applicable
12,Full Stack Developer,ESN Global Media,Ramat Gan,4.2 ,"We are looking for a Senior Full Stack Developer to join our team at ESN Global Media. Our ideal candidate will have both front-end and back-end development experience and be able to work independently and in a team setting. You should also be able to take initiative, work well under pressure and have excellent problem-solving skills. Responsibilities: Develop and maintain UI and server-side applications and websites Create and maintain comprehensive development documentation Develop, document, test, deploy, support and troubleshoot features and applications  Requirements:",-1,1,4.1,3.5,4.0,3.9,3.9,51 to 200 Employees,Company - Private,Media & Communication,2012,Advertising & Public Relations,Unknown / Non-Applicable
13,Junior Web Developer לסטארטפ בתחום הבטחוני,Gotfriends,Tel Aviv-Yafo,4.8 ,"מיקום: ת""א והמרכז תיאור המשרה: לסטארטאפ המפתח פלטפורמה בעולם הבטחוני עבור ממשלות וארגונים בטחונים. מדובר בפתרון שמאפשר לזקק Data ממקורות שונים ומגוונים להנגישו לאנליסטים. מגייסים מפתח Frontend עם רקע באנגולר. עבודה צמודה עם צוות ה-UX והמוצר. דרישות המשרה: השכלה רלוונטית לפחות שנת ניסיון בפיתוח FED יחד עם Angular",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
14,Full Stack Developer,Intango,Tel Aviv-Yafo,4.1 ,"Intango IL About The Position We are looking for a full Stack web developer with front end orientation to join our super talented & fun WebApps team! We’re Intango - a successful & fast-growing Marketing Tech company. We develop and extend our home-grown systems to serve billions of service requests, auctions, and big-data events daily. The WebApps team is leading our search monetization activity including its operational systems, responsible for the full development cycle. In addition, the team supports our growth team with POCs of new opportunities.",-1,0,3.7,3.6,4.3,3.9,4.5,51 to 200 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
15,Fullstack Developer,Optimove,Tel Aviv-Yafo,4.3 ,"Optimove is a global marketing tech company, recognized as a Leader by Forrester and a Challenger by Gartner. We work with some of the world's most exciting brands, such as Papa John's, Staples, and Entain, who love our thought-provoking combination of art and science. With a strong product, a proven business, and the DNA of a vibrant, fast-growing startup, we're on the cusp of our next growth spurt. It's the perfect time to join our team of ~400 thinkers and doers across NYC, LDN, TLV, and other locations, where 2 of every 3 managers were promoted from within. Growing your career with Optimove is basically guaranteed. Responsibilities: Build, optimize, and improve the mobile SDKs",-1,0,4.4,4.0,4.5,4.4,4.4,201 to 500 Employees,Company - Private,Information Technology,2009,Internet & Web Services,Unknown / Non-Applicable
16,WEB Developer,MalamTeam,Petah Tikva,3.2 ,ארגון ממשלתי גדול באזור השפלה מחפש WEB Developer לצוות אפליקציות. התפקיד כולל פיתוח אפליקציות WEB הכוללות אינטגרציות למערכות חיצוניות כחלק מצוות שאחראי על פיתוח מערכות מאפס ותחזוקה של מערכות קיימות.  דרישות התפקיד: לפחות 2 שנות ניסיון בפיתוח WEB. ניסיון בפיתוח NET. ניסיון בפיתוח עם ANGULAR2+. ניסיון בעבודה מול SQL SERVER.,-1,0,2.8,2.4,2.8,2.7,3.7,1001 to 5000 Employees,Company - Public,Information Technology,-1,Information Technology Support Services,Unknown / Non-Applicable
