,title,employer,location,rating,description,salary_estimate,easy_apply,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating,company_size,company_type,company_sector,company_founded,company_industry,company_revenue
0,Full Stack Engineer,Atomic-growth.com,Ramat Gan,-1,"Atomic Growth is building the next-generation Consumer Packaged Goods CPG company by acquiring and scaling independent e-commerce brands. We leverage AI and unique e-commerce expertise to identify, acquire, operate, and scale these brands. We partner with the owners of these brands, and offer them an opportunity to go above and beyond what they imagined when starting their brand. Atomic Growth assembled an extraordinary, cross-functional team of AI, e-commerce, and M&A experts, based in Tel-Aviv and New-York. Growing rapidly, and looking for driven professionals who are excited to join a dynamic startup environment, offering ownership and exceptional personal development opportunities from day 1. Responsibilities for Full Stack",₪25K (Employer est.),1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
1,Junior QA Engineer,Unleash,Tel Aviv-Yafo,3.7 ,"Unleash is powering the productivity revolution by providing users with a centralized way to search through their cloud based apps and local desktop. A light weight search interface allows users to enter their search query and receive relevant ranked results which are yielded in seconds. As a user centric company, we place a great deal of emphasis on users experience when building our product and have fun doing it!  We are a fresh and energetic startup, post round A in funding ($12M), led by a strong team of second timer founders and top angel investors and VCs from the Sillicon Valley and Tel Aviv. Our expanding team is made up of enthusiastic and dedicated members working together to revolutionize the productivity world. We believe that collaboration across teams - where everyone is accessible, from our newest hires to the founders - combined with a vested interest in our teams well being are the keys to our successful working environment.",-1,1,3.5,3.7,3.7,3.4,3.5,51 to 200 Employees,Company - Private,Media & Communication,2011,Publishing,Unknown / Non-Applicable
2,"Cloud Software Engineer, Identity Protection (Israel)",CrowdStrike,Tel Aviv-Yafo,4.3 ,"#WeAreCrowdStrike and our mission is to stop breaches. As a global leader in cybersecurity, our team changed the game. Since our inception, our market leading cloud-native platform has offered unparalleled protection against the most sophisticated cyberattacks. We’re looking for people with limitless passion, a relentless focus on innovation and a fanatical commitment to the customer to join us in shaping the future of cybersecurity. Consistently recognized as a top workplace, CrowdStrike is committed to cultivating an inclusive, remote-first culture that offers people the autonomy and flexibility to balance the needs of work and life while taking their career to the next level. Interested in working for a company that sets the standard and leads with integrity? Join us on a mission that matters - one team, one fight. About the Team: You will be joining the Identity protection team that delivers detection and prevention of identity related incidents in the organizational network using the falcon sensor and cloud.",-1,0,4.0,4.2,4.1,3.9,4.1,1001 to 5000 Employees,Company - Public,Information Technology,2011,Enterprise Software & Network Solutions,$500 million to $1 billion (USD)
3,Automation Engineer- student position,Atera,Tel Aviv-Yafo,4.7 ,"Atera is looking for a talented and passionate Automation Engineer to develop, maintain, and improve the automation framework and tests to ensure the highest level of quality. This is a student position. Availability to work a minimum of 3 days a week (60%) is required.  Responsibilities: Conduct the process of transformation from manual tests to automation tests based on needed scenarios & tools, as well as enhance existing tests and tools.  Requirements:",-1,1,4.7,4.6,4.6,4.6,4.6,201 to 500 Employees,Company - Private,Information Technology,2014,Enterprise Software & Network Solutions,$25 to $100 million (USD)
4,Junior QA Engineer,Unleash Labs,Tel Aviv-Yafo,3.7 ,"Unleash is powering the productivity revolution by providing users with a centralized way to search through their cloud based apps and local desktop. A light weight search interface allows users to enter their search query and receive relevant ranked results which are yielded in seconds. As a user centric company, we place a great deal of emphasis on users experience when building our product and have fun doing it!  We are a fresh and energetic startup, post round A in funding ($12M), led by a strong team of second timer founders and top angel investors and VCs from the Sillicon Valley and Tel Aviv. Our expanding team is made up of enthusiastic and dedicated members working together to revolutionize the productivity world. We believe that collaboration across teams - where everyone is accessible, from our newest hires to the founders - combined with a vested interest in our teams well being are the keys to our successful working environment.",-1,0,3.5,3.7,3.7,3.4,3.5,51 to 200 Employees,Company - Private,Media & Communication,2011,Publishing,Unknown / Non-Applicable
5,Junior Software Engineer,Nym Health,Tel Aviv-Yafo,-1,"At Nym, we’re passionate about simplifying healthcare by automating the accurate interpretation of clinical language. Our interdisciplinary team has developed an innovative technology that can understand clinical language and provides an entirely new way of analyzing and decoding medical records into clear, concise, and actionable information. This ultimately ensures clinical and administrative teams can spend more time focused on patient care. At Nym, the future is bright. Our engine currently processes over five million charts annually in more than 150 emergency department and urgent care settings across the US. We are backed by top-tier VCs and growing rapidly, with offices in NYC and Tel Aviv.   Requirements:",-1,1,4.1,4.7,3.0,2.7,4.4,1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
6,Back End Engineer,Jeeng,Giv`atayim,-1,"Are you an A+? We are looking for a top-notch Backend Engineer Unicorn who will work on our core platform. The person who will join us will have a significant impact on creating a brand-new product and will own features from design to production. Our ideal candidates understand that design is crucial and have a solid experience in microservices architecture. Additionally, we expect them to be independent, accountable and willing to frequently get out of their comfort zone. What will you do?  Requirements:   Experience: 5+",-1,1,4.3,4.3,4.9,4.8,4.6,1 to 50 Employees,Company - Private,Information Technology,2011,Internet & Web Services,$25 to $100 million (USD)
7,Frontend Engineer,ironSource,Tel Aviv-Yafo,4.2 ,"Unity is seeking a highly skilled and passionate Front-end Developer to join our dynamic team in creating an amazing product displayed on mobile devices and reaching millions of users worldwide. As a React Developer, you will play an important role in leading the development of our cutting-edge product, utilizing your expertise in web development and react to ensure an exceptional user experience. We use the coolest, most advanced technology out there to make it super innovative and exciting! If you are an ambitious React Developer who thrives in a fast-paced and collaborative environment and are passionate about creating world-class mobile web experiences, we would love to hear from you. Join our A - team and let’s do great things together.  Requirements:  Role:  Business Unit: Engineering",-1,1,4.0,3.8,4.1,4.0,3.9,501 to 1000 Employees,Company - Private,Information Technology,2010,Computer Hardware Development,Unknown / Non-Applicable
8,NOC Engineer- Student Position,Gong.io Inc.,Tel Aviv-Yafo,4.2 ,"As a NOC Student, you will: Ensure infrastructure and applications are monitored and that alerts and incidents are handled quickly and professionally. Measure and monitor the viability and stability of the systems and their core components. Perform proactive system monitoring. Confirming the integrity and availability of processes & pipelines. Troubleshooting and resolving application-related issues. You should apply if you are:",-1,0,3.9,4.1,4.3,4.0,3.9,1001 to 5000 Employees,Company - Private,Information Technology,2015,Enterprise Software & Network Solutions,Unknown / Non-Applicable
9,QA Automation Engineer (Student Position),Trullion,Tel Aviv-Yafo,-1,"Accounting is the language of the business world, and all companies rely on accurate financial data to communicate with stakeholders. The $400 billion per year financial reporting industry is ready for new technology to take standards to the next level. And that's where Trullion comes in. Our AI-powered platform automates critical accounting workflows, provides real-time reports and insights, and promotes new levels of collaboration for financial leaders. We are a rapidly growing start-up with clients that include global multinational brands and leading audit firms. Our investors include Aleph, Third Point, Greycroft, leading CFOs, and CAOs from around the world. This is the perfect time for you to join us as we expand our current offerings and launch new products.  Requirements:     Responsibilities:  About us:",-1,1,5.0,5.0,4.7,5.0,4.5,1 to 50 Employees,Company - Private,Financial Services,2019,Financial Transaction Processing,Unknown / Non-Applicable
